jurisdiction,year,ipcc_code,Product,tax_rate_incl_ex_kusd,ets_price_kusd,jurtype
Denmark,1995,1A1A1,Coal,22.834383164139663,NA,country
Denmark,1995,1A1A1,Natural gas,22.834383164139663,NA,country
Denmark,1995,1A1A1,Oil,22.834383164139663,NA,country
Denmark,1995,1A1A3,Coal,22.834383164139663,NA,country
Denmark,1995,1A1A3,Natural gas,22.834383164139663,NA,country
Denmark,1995,1A1A3,Oil,22.834383164139663,NA,country
Denmark,1995,1A1B,Coal,22.834383164139663,NA,country
Denmark,1995,1A1B,Natural gas,22.834383164139663,NA,country
Denmark,1995,1A1B,Oil,22.834383164139663,NA,country
Denmark,1995,1A1C,Coal,22.834383164139663,NA,country
Denmark,1995,1A1C,Natural gas,22.834383164139663,NA,country
Denmark,1995,1A1C,Oil,22.834383164139663,NA,country
Denmark,1995,1A2A,Coal,11.417191582069831,NA,country
Denmark,1995,1A2A,Natural gas,11.417191582069831,NA,country
Denmark,1995,1A2A,Oil,11.417191582069831,NA,country
Denmark,1995,1A2B,Coal,11.417191582069831,NA,country
Denmark,1995,1A2B,Natural gas,11.417191582069831,NA,country
Denmark,1995,1A2B,Oil,11.417191582069831,NA,country
Denmark,1995,1A2C,Coal,11.417191582069831,NA,country
Denmark,1995,1A2C,Natural gas,11.417191582069831,NA,country
Denmark,1995,1A2C,Oil,11.417191582069831,NA,country
Denmark,1995,1A2D,Coal,11.417191582069831,NA,country
Denmark,1995,1A2D,Natural gas,11.417191582069831,NA,country
Denmark,1995,1A2D,Oil,11.417191582069831,NA,country
Denmark,1995,1A2E,Coal,11.417191582069831,NA,country
Denmark,1995,1A2E,Natural gas,11.417191582069831,NA,country
Denmark,1995,1A2E,Oil,11.417191582069831,NA,country
Denmark,1995,1A2F,Coal,11.417191582069831,NA,country
Denmark,1995,1A2F,Natural gas,11.417191582069831,NA,country
Denmark,1995,1A2F,Oil,11.417191582069831,NA,country
Denmark,1995,1A2G,Coal,11.417191582069831,NA,country
Denmark,1995,1A2G,Natural gas,11.417191582069831,NA,country
Denmark,1995,1A2G,Oil,11.417191582069831,NA,country
Denmark,1995,1A2H,Coal,11.417191582069831,NA,country
Denmark,1995,1A2H,Natural gas,11.417191582069831,NA,country
Denmark,1995,1A2H,Oil,11.417191582069831,NA,country
Denmark,1995,1A2I,Coal,11.417191582069831,NA,country
Denmark,1995,1A2I,Natural gas,11.417191582069831,NA,country
Denmark,1995,1A2I,Oil,11.417191582069831,NA,country
Denmark,1995,1A2J,Coal,11.417191582069831,NA,country
Denmark,1995,1A2J,Natural gas,11.417191582069831,NA,country
Denmark,1995,1A2J,Oil,11.417191582069831,NA,country
Denmark,1995,1A2K,Coal,11.417191582069831,NA,country
Denmark,1995,1A2K,Natural gas,11.417191582069831,NA,country
Denmark,1995,1A2K,Oil,11.417191582069831,NA,country
Denmark,1995,1A2L,Coal,11.417191582069831,NA,country
Denmark,1995,1A2L,Natural gas,11.417191582069831,NA,country
Denmark,1995,1A2L,Oil,11.417191582069831,NA,country
Denmark,1995,1A2M,Coal,11.417191582069831,NA,country
Denmark,1995,1A2M,Natural gas,11.417191582069831,NA,country
Denmark,1995,1A2M,Oil,11.417191582069831,NA,country
Denmark,1995,1A3B,Coal,22.834383164139663,NA,country
Denmark,1995,1A3B,Natural gas,22.834383164139663,NA,country
Denmark,1995,1A3B,Oil,22.834383164139663,NA,country
Denmark,1995,1A4A,Coal,22.834383164139663,NA,country
Denmark,1995,1A4A,Natural gas,22.834383164139663,NA,country
Denmark,1995,1A4A,Oil,22.834383164139663,NA,country
Denmark,1995,1A4B,Coal,22.834383164139663,NA,country
Denmark,1995,1A4B,Natural gas,22.834383164139663,NA,country
Denmark,1995,1A4B,Oil,22.834383164139663,NA,country
Denmark,1995,1A4C1,Coal,11.417191582069831,NA,country
Denmark,1995,1A4C1,Natural gas,11.417191582069831,NA,country
Denmark,1995,1A4C1,Oil,11.417191582069831,NA,country
Finland,1995,1A1B,Coal,9.379437701872236,NA,country
Finland,1995,1A1B,Natural gas,5.288495900355214,NA,country
Finland,1995,1A1B,Oil,9.646781292216456,NA,country
Finland,1995,1A1C,Coal,9.379437701872236,NA,country
Finland,1995,1A1C,Natural gas,5.288495900355214,NA,country
Finland,1995,1A1C,Oil,9.646781292216456,NA,country
Finland,1995,1A2A,Coal,9.379437701872236,NA,country
Finland,1995,1A2A,Natural gas,5.288495900355214,NA,country
Finland,1995,1A2A,Oil,9.646781292216456,NA,country
Finland,1995,1A2B,Coal,9.379437701872236,NA,country
Finland,1995,1A2B,Natural gas,5.288495900355214,NA,country
Finland,1995,1A2B,Oil,9.646781292216456,NA,country
Finland,1995,1A2C,Coal,9.379437701872236,NA,country
Finland,1995,1A2C,Natural gas,5.288495900355214,NA,country
Finland,1995,1A2C,Oil,9.646781292216456,NA,country
Finland,1995,1A2D,Coal,9.379437701872236,NA,country
Finland,1995,1A2D,Natural gas,5.288495900355214,NA,country
Finland,1995,1A2D,Oil,9.646781292216456,NA,country
Finland,1995,1A2E,Coal,9.379437701872236,NA,country
Finland,1995,1A2E,Natural gas,5.288495900355214,NA,country
Finland,1995,1A2E,Oil,9.646781292216456,NA,country
Finland,1995,1A2F,Coal,9.379437701872236,NA,country
Finland,1995,1A2F,Natural gas,5.288495900355214,NA,country
Finland,1995,1A2F,Oil,9.646781292216456,NA,country
Finland,1995,1A2G,Coal,9.379437701872236,NA,country
Finland,1995,1A2G,Natural gas,5.288495900355214,NA,country
Finland,1995,1A2G,Oil,9.646781292216456,NA,country
Finland,1995,1A2H,Coal,9.379437701872236,NA,country
Finland,1995,1A2H,Natural gas,5.288495900355214,NA,country
Finland,1995,1A2H,Oil,9.646781292216456,NA,country
Finland,1995,1A2I,Coal,9.379437701872236,NA,country
Finland,1995,1A2I,Natural gas,5.288495900355214,NA,country
Finland,1995,1A2I,Oil,9.646781292216456,NA,country
Finland,1995,1A2J,Coal,9.379437701872236,NA,country
Finland,1995,1A2J,Natural gas,5.288495900355214,NA,country
Finland,1995,1A2J,Oil,9.646781292216456,NA,country
Finland,1995,1A2K,Coal,9.379437701872236,NA,country
Finland,1995,1A2K,Natural gas,5.288495900355214,NA,country
Finland,1995,1A2K,Oil,9.646781292216456,NA,country
Finland,1995,1A2L,Coal,9.379437701872236,NA,country
Finland,1995,1A2L,Natural gas,5.288495900355214,NA,country
Finland,1995,1A2L,Oil,9.646781292216456,NA,country
Finland,1995,1A2M,Coal,9.379437701872236,NA,country
Finland,1995,1A2M,Natural gas,5.288495900355214,NA,country
Finland,1995,1A2M,Oil,9.646781292216456,NA,country
Finland,1995,1A3A2,Coal,9.379437701872236,NA,country
Finland,1995,1A3A2,Natural gas,5.288495900355214,NA,country
Finland,1995,1A3A2,Oil,9.646781292216456,NA,country
Finland,1995,1A3B,Coal,9.379437701872236,NA,country
Finland,1995,1A3B,Natural gas,5.288495900355214,NA,country
Finland,1995,1A3B,Oil,9.646781292216456,NA,country
Finland,1995,1A4A,Coal,9.379437701872236,NA,country
Finland,1995,1A4A,Natural gas,5.288495900355214,NA,country
Finland,1995,1A4A,Oil,9.646781292216456,NA,country
Finland,1995,1A4B,Coal,9.379437701872236,NA,country
Finland,1995,1A4B,Natural gas,5.288495900355214,NA,country
Finland,1995,1A4B,Oil,9.646781292216456,NA,country
Finland,1995,1A4C1,Coal,9.379437701872236,NA,country
Finland,1995,1A4C1,Natural gas,5.288495900355214,NA,country
Finland,1995,1A4C1,Oil,9.646781292216456,NA,country
Finland,1995,1A4C2,Coal,9.379437701872236,NA,country
Finland,1995,1A4C2,Natural gas,5.288495900355214,NA,country
Finland,1995,1A4C2,Oil,9.646781292216456,NA,country
Norway,1995,1A1A1,Oil,112.67972590738768,NA,country
Norway,1995,1A1B,Oil,112.67972590738768,NA,country
Norway,1995,1A1C,Oil,112.67972590738768,NA,country
Norway,1995,1A2A,Oil,112.67972590738768,NA,country
Norway,1995,1A2B,Oil,112.67972590738768,NA,country
Norway,1995,1A2C,Oil,112.67972590738768,NA,country
Norway,1995,1A2D,Oil,112.67972590738768,NA,country
Norway,1995,1A2E,Oil,112.67972590738768,NA,country
Norway,1995,1A2F,Oil,112.67972590738768,NA,country
Norway,1995,1A2G,Oil,112.67972590738768,NA,country
Norway,1995,1A2H,Oil,112.67972590738768,NA,country
Norway,1995,1A2I,Oil,112.67972590738768,NA,country
Norway,1995,1A2J,Oil,112.67972590738768,NA,country
Norway,1995,1A2K,Oil,112.67972590738768,NA,country
Norway,1995,1A2L,Oil,112.67972590738768,NA,country
Norway,1995,1A2M,Oil,112.67972590738768,NA,country
Norway,1995,1A3A2,Oil,112.67972590738768,NA,country
Norway,1995,1A3B,Oil,112.67972590738768,NA,country
Norway,1995,1A4A,Oil,112.67972590738768,NA,country
Norway,1995,1A4B,Oil,112.67972590738768,NA,country
Norway,1995,1A4C2,Oil,112.67972590738768,NA,country
Poland,1995,1A1A1,Coal,0.08190969090237915,NA,country
Poland,1995,1A1A1,Natural gas,0.08190969090237915,NA,country
Poland,1995,1A1A1,Oil,0.08190969090237915,NA,country
Poland,1995,1A2A,Coal,0.08190969090237915,NA,country
Poland,1995,1A2A,Natural gas,0.08190969090237915,NA,country
Poland,1995,1A2A,Oil,0.08190969090237915,NA,country
Poland,1995,1A2B,Coal,0.08190969090237915,NA,country
Poland,1995,1A2B,Natural gas,0.08190969090237915,NA,country
Poland,1995,1A2B,Oil,0.08190969090237915,NA,country
Poland,1995,1A2C,Coal,0.08190969090237915,NA,country
Poland,1995,1A2C,Natural gas,0.08190969090237915,NA,country
Poland,1995,1A2C,Oil,0.08190969090237915,NA,country
Poland,1995,1A2D,Coal,0.08190969090237915,NA,country
Poland,1995,1A2D,Natural gas,0.08190969090237915,NA,country
Poland,1995,1A2D,Oil,0.08190969090237915,NA,country
Poland,1995,1A2E,Coal,0.08190969090237915,NA,country
Poland,1995,1A2E,Natural gas,0.08190969090237915,NA,country
Poland,1995,1A2E,Oil,0.08190969090237915,NA,country
Poland,1995,1A2F,Coal,0.08190969090237915,NA,country
Poland,1995,1A2F,Natural gas,0.08190969090237915,NA,country
Poland,1995,1A2F,Oil,0.08190969090237915,NA,country
Poland,1995,1A2G,Coal,0.08190969090237915,NA,country
Poland,1995,1A2G,Natural gas,0.08190969090237915,NA,country
Poland,1995,1A2G,Oil,0.08190969090237915,NA,country
Poland,1995,1A2H,Coal,0.08190969090237915,NA,country
Poland,1995,1A2H,Natural gas,0.08190969090237915,NA,country
Poland,1995,1A2H,Oil,0.08190969090237915,NA,country
Poland,1995,1A2I,Coal,0.08190969090237915,NA,country
Poland,1995,1A2I,Natural gas,0.08190969090237915,NA,country
Poland,1995,1A2I,Oil,0.08190969090237915,NA,country
Poland,1995,1A2J,Coal,0.08190969090237915,NA,country
Poland,1995,1A2J,Natural gas,0.08190969090237915,NA,country
Poland,1995,1A2J,Oil,0.08190969090237915,NA,country
Poland,1995,1A2K,Coal,0.08190969090237915,NA,country
Poland,1995,1A2K,Natural gas,0.08190969090237915,NA,country
Poland,1995,1A2K,Oil,0.08190969090237915,NA,country
Poland,1995,1A2L,Coal,0.08190969090237915,NA,country
Poland,1995,1A2L,Natural gas,0.08190969090237915,NA,country
Poland,1995,1A2L,Oil,0.08190969090237915,NA,country
Poland,1995,1A2M,Coal,0.08190969090237915,NA,country
Poland,1995,1A2M,Natural gas,0.08190969090237915,NA,country
Poland,1995,1A2M,Oil,0.08190969090237915,NA,country
Sweden,1995,1A1B,Coal,53.606075336917,NA,country
Sweden,1995,1A1B,Natural gas,53.606075336917,NA,country
Sweden,1995,1A1B,Oil,53.606075336917,NA,country
Sweden,1995,1A1C,Coal,53.606075336917,NA,country
Sweden,1995,1A1C,Natural gas,53.606075336917,NA,country
Sweden,1995,1A1C,Oil,53.606075336917,NA,country
Sweden,1995,1A2A,Coal,13.40151883422925,NA,country
Sweden,1995,1A2A,Natural gas,13.40151883422925,NA,country
Sweden,1995,1A2A,Oil,13.40151883422925,NA,country
Sweden,1995,1A2B,Coal,13.40151883422925,NA,country
Sweden,1995,1A2B,Natural gas,13.40151883422925,NA,country
Sweden,1995,1A2B,Oil,13.40151883422925,NA,country
Sweden,1995,1A2C,Coal,13.40151883422925,NA,country
Sweden,1995,1A2C,Natural gas,13.40151883422925,NA,country
Sweden,1995,1A2C,Oil,13.40151883422925,NA,country
Sweden,1995,1A2D,Coal,13.40151883422925,NA,country
Sweden,1995,1A2D,Natural gas,13.40151883422925,NA,country
Sweden,1995,1A2D,Oil,13.40151883422925,NA,country
Sweden,1995,1A2E,Coal,13.40151883422925,NA,country
Sweden,1995,1A2E,Natural gas,13.40151883422925,NA,country
Sweden,1995,1A2E,Oil,13.40151883422925,NA,country
Sweden,1995,1A2F,Coal,13.40151883422925,NA,country
Sweden,1995,1A2F,Natural gas,13.40151883422925,NA,country
Sweden,1995,1A2F,Oil,13.40151883422925,NA,country
Sweden,1995,1A2G,Coal,13.40151883422925,NA,country
Sweden,1995,1A2G,Natural gas,13.40151883422925,NA,country
Sweden,1995,1A2G,Oil,13.40151883422925,NA,country
Sweden,1995,1A2H,Coal,13.40151883422925,NA,country
Sweden,1995,1A2H,Natural gas,13.40151883422925,NA,country
Sweden,1995,1A2H,Oil,13.40151883422925,NA,country
Sweden,1995,1A2I,Coal,13.40151883422925,NA,country
Sweden,1995,1A2I,Natural gas,13.40151883422925,NA,country
Sweden,1995,1A2I,Oil,13.40151883422925,NA,country
Sweden,1995,1A2J,Coal,13.40151883422925,NA,country
Sweden,1995,1A2J,Natural gas,13.40151883422925,NA,country
Sweden,1995,1A2J,Oil,13.40151883422925,NA,country
Sweden,1995,1A2K,Coal,13.40151883422925,NA,country
Sweden,1995,1A2K,Natural gas,13.40151883422925,NA,country
Sweden,1995,1A2K,Oil,13.40151883422925,NA,country
Sweden,1995,1A2L,Coal,13.40151883422925,NA,country
Sweden,1995,1A2L,Natural gas,13.40151883422925,NA,country
Sweden,1995,1A2L,Oil,13.40151883422925,NA,country
Sweden,1995,1A2M,Coal,13.40151883422925,NA,country
Sweden,1995,1A2M,Natural gas,13.40151883422925,NA,country
Sweden,1995,1A2M,Oil,13.40151883422925,NA,country
Sweden,1995,1A3B,Coal,53.606075336917,NA,country
Sweden,1995,1A3B,Natural gas,53.606075336917,NA,country
Sweden,1995,1A3B,Oil,53.606075336917,NA,country
Sweden,1995,1A4A,Coal,53.606075336917,NA,country
Sweden,1995,1A4A,Natural gas,53.606075336917,NA,country
Sweden,1995,1A4A,Oil,53.606075336917,NA,country
Sweden,1995,1A4B,Coal,53.606075336917,NA,country
Sweden,1995,1A4B,Natural gas,53.606075336917,NA,country
Sweden,1995,1A4B,Oil,53.606075336917,NA,country
Sweden,1995,1A4C1,Coal,53.606075336917,NA,country
Sweden,1995,1A4C1,Natural gas,53.606075336917,NA,country
Sweden,1995,1A4C1,Oil,53.606075336917,NA,country
Sweden,1995,1A4C2,Coal,53.606075336917,NA,country
Sweden,1995,1A4C2,Natural gas,53.606075336917,NA,country
Sweden,1995,1A4C2,Oil,53.606075336917,NA,country
